player_id,Name,height_cm,weight_kg,score,rebounds,assists,steals,blocks,overall_hit_rate,three_point_hit_rate,offence_score,defence_score,overall_score,jersey_number,position,team,wages
268,Tomas Satoransky,200,95.2,8,3.1,4.2,1,0.2,0.457,0.330,65,64,65,31,SG,Wizards,3
269,Jeremy Lin,190,90.7,10.6,2.3,3.5,0.7,0.1,0.459,0.291,80,77,80,7,PG,Hawks,5
270,Vince Carter,198,99.8,6.5,2.6,1,0.6,0.3,0.376,0.316,75,74,75,15,SG,Hawks,5
271,John Collins,208,106.8,19.4,10,2.2,0.3,0.4,0.580,0.272,85,81,85,20,PF,Hawks,6
272,Dewayne Dedmon,213,111,10.3,7.2,1.3,1,1,0.488,0.317,75,78,79,14,C,Hawks,5
273,Taurean Prince,203,99.8,13.7,3.7,1.9,1.1,0.3,0.454,0.409,75,74,73,12,SF,Hawks,4
274,Kent Bazemore,195,91.1,13.3,3.9,2.5,1.6,0.8,0.430,0.286,75,74,72,24,SG,Hawks,4
275,Alex Len,215,113.4,10.1,5.7,1,0.4,0.9,0.460,0.238,70,70,70,25,C,Hawks,4
276,Kevin Huerte,200,86.2,9.3,3.3,2.9,0.9,0.4,0.409,0.343,65,60,63,3,SG,Hawks,3
277,Trae Young,188,82,16.8,3.2,7.4,0.9,0.2,0.409,0.304,75,70,73,1,PG,Hawks,4
278,Nikola Vucevic,213,117.9,20.6,11.9,3.8,0.9,1.2,0.521,0.328,90,76,84,9,C,Magic,5
279,Aaron Gordon,205,99.8,15.9,7.4,0.7,0.7,0.7,0.447,0.322,83,80,85,0,PF,Magic,6
280,Terrence Ross,200,93.4,14.7,3.3,1.5,0.9,0.4,0.440,0.390,77,75,76,31,SG,Magic,5
281,Evan Fournier,200,93,15,3,3.5,0.9,0.1,0.431,0.338,77,76,78,10,SG,Magic,5
282,Jonathan Isaac,208,95.2,8.4,5.3,1.1,0.8,1.2,0.402,0.242,74,77,73,1,SF,Magic,4
283,Mo Bamba,213,100.2,6.2,5,0.8,0.3,1.4,0.467,0.230,75,76,75,5,C,Magic,5
284,Jerian Grant,193,93,4.1,1.8,2.9,0.8,0.1,0.355,0.274,66,76,70,22,PG,Magic,4
285,D.J. Augustin,182,83,11.6,2.1,4.7,0.6,0.6,0.455,0.426,66,70,68,14,PG,Magic,3
286,Wes Iwundu,200,88.4,4.8,2.2,0.8,0.4,0.3,0.370,0.204,70,77,75,25,SF,Magic,5
287,Kemba Walker,185,83.4,24.8,4.4,5.7,1.2,0.5,0.424,0.346,85,83,84,15,PG,Hornets,5
288,Tony Parker,187,83.9,9.6,1.5,3.8,0.4,0.1,0.405,0.112,77,72,76,9,PG,Hornets,5
289,Cody Zeller,213,108.8,9.2,6.5,2.1,0.7,0.8,0.566,0.117,77,77,77,40,C,Hornets,5
290,Jeremy Lamb,195,83.9,14.5,5.5,1.9,1,0.3,0.452,0.325,76,76,76,3,SG,Hornets,5
291,Malik Monk,190,90.7,10.5,1.7,1.7,0.5,0.3,0.379,0.303,77,78,77,1,PG,Hornets,5
292,Marvin Williams,205,107,10.2,5.5,1.2,0.9,0.8,0.409,0.367,66,76,70,2,SF,Hornets,4
293,Willy Hernangomez,210,108.8,7.4,5.5,0.9,0.3,0.3,0.508,0.193,66,70,68,41,C,Hornets,3
294,Bismack Biyombo,205,115.6,4.5,5,0.6,0.2,1.1,0.473,0.000,66,66,66,8,C,Hornets,3
